LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
59m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
59m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
59m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.501s (1.501s including waiting). Image size: 6025303 bytes.
59m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
59m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
58m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
57m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
57m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
57m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.605s (1.605s including waiting). Image size: 6025303 bytes.
57m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
57m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
55m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
38m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
38m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
38m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.427s (2.427s including waiting). Image size: 6025303 bytes.
38m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
38m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
37m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
37m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
37m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
37m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.205s (2.205s including waiting). Image size: 6025303 bytes.
37m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
37m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
37m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
36m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
36m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
36m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.759s (1.759s including waiting). Image size: 6025303 bytes.
36m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
36m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
36m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
35m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
35m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
35m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.519s (1.519s including waiting). Image size: 6025303 bytes.
35m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
35m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
35m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
105m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
105m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.868s (1.868s including waiting). Image size: 6025303 bytes.
105m        Normal    Created     pod/consumer-svc                             Created container: consumer
105m        Normal    Started     pod/consumer-svc                             Started container consumer
101m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
94m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
94m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.742s (1.743s including waiting). Image size: 6025303 bytes.
94m         Normal    Created     pod/consumer-svc                             Created container: consumer
94m         Normal    Started     pod/consumer-svc                             Started container consumer
91m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
90m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
90m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.768s (1.768s including waiting). Image size: 6025303 bytes.
90m         Normal    Created     pod/consumer-svc                             Created container: consumer
90m         Normal    Started     pod/consumer-svc                             Started container consumer
89m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
89m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
