LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
102m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
101m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
101m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.861s (1.861s including waiting). Image size: 6025303 bytes.
101m        Normal    Created     pod/consumer-svc                             Created container: consumer
101m        Normal    Started     pod/consumer-svc                             Started container consumer
99m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
59m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
59m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
59m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.67s (1.67s including waiting). Image size: 5766525 bytes.
59m         Normal    Created     pod/consumer-svc                             Created container: consumer
59m         Normal    Started     pod/consumer-svc                             Started container consumer
58m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
57m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
57m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
57m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.913s (1.913s including waiting). Image size: 5766525 bytes.
57m         Normal    Created     pod/consumer-svc                             Created container: consumer
57m         Normal    Started     pod/consumer-svc                             Started container consumer
56m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
56m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
56m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
56m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.688s (1.688s including waiting). Image size: 5766525 bytes.
56m         Normal    Created     pod/consumer-svc                             Created container: consumer
56m         Normal    Started     pod/consumer-svc                             Started container consumer
55m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
54m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
54m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
54m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.634s (1.634s including waiting). Image size: 5766525 bytes.
54m         Normal    Created     pod/consumer-svc                             Created container: consumer
54m         Normal    Started     pod/consumer-svc                             Started container consumer
54m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
53m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
50m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
47m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
44m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
41m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
38m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
38m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
38m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.792s (1.792s including waiting). Image size: 5766525 bytes.
38m         Normal    Created     pod/consumer-svc                             Created container: consumer
38m         Normal    Started     pod/consumer-svc                             Started container consumer
36m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
35m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
35m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
35m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.625s (1.625s including waiting). Image size: 5766525 bytes.
35m         Normal    Created     pod/consumer-svc                             Created container: consumer
35m         Normal    Started     pod/consumer-svc                             Started container consumer
33m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
32m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
32m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
32m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.642s (1.642s including waiting). Image size: 5766525 bytes.
32m         Normal    Created     pod/consumer-svc                             Created container: consumer
32m         Normal    Started     pod/consumer-svc                             Started container consumer
30m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
29m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
29m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
29m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.847s (1.847s including waiting). Image size: 5766525 bytes.
29m         Normal    Created     pod/consumer-svc                             Created container: consumer
29m         Normal    Started     pod/consumer-svc                             Started container consumer
27m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
26m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
26m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
