LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
74m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.816s (1.816s including waiting). Image size: 6025303 bytes.
74m         Normal    Created     pod/consumer-svc                             Created container: consumer
74m         Normal    Started     pod/consumer-svc                             Started container consumer
72m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
71m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
71m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.755s (1.755s including waiting). Image size: 6025303 bytes.
71m         Normal    Created     pod/consumer-svc                             Created container: consumer
71m         Normal    Started     pod/consumer-svc                             Started container consumer
68m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
68m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
68m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.861s (1.861s including waiting). Image size: 6025303 bytes.
68m         Normal    Created     pod/consumer-svc                             Created container: consumer
68m         Normal    Started     pod/consumer-svc                             Started container consumer
65m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
57m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
57m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
57m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.722s (1.722s including waiting). Image size: 5766525 bytes.
57m         Normal    Created     pod/consumer-svc                             Created container: consumer
57m         Normal    Started     pod/consumer-svc                             Started container consumer
55m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
51m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
46m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rubikpi
46m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
46m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.598s (1.598s including waiting). Image size: 6025303 bytes.
46m         Normal    Created     pod/consumer-svc                             Created container: consumer
46m         Normal    Started     pod/consumer-svc                             Started container consumer
45m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
44m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rubikpi
44m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
44m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.536s (1.536s including waiting). Image size: 6025303 bytes.
44m         Normal    Created     pod/consumer-svc                             Created container: consumer
44m         Normal    Started     pod/consumer-svc                             Started container consumer
43m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
40m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
37m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
35m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
33m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
30m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
28m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
26m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
