Producer starting...
Target address: localhost:8080
Send interval: 10ms
Connected to localhost:8080
[Stats] Messages: 31995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 32495 | Rate: 99.98 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 32995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 33495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 33995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 34495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 34995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 35495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 35995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 36495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 36995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 37495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 37995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 38495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 38995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 39495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 39995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 40495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 40995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 41495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 41995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 42495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 42995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 43495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 43995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 44495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 44995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 45495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 45995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 46495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 46995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 47495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 47994 | Rate: 99.79 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 48494 | Rate: 100.02 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 48994 | Rate: 99.98 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 49494 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 49994 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 50494 | Rate: 99.94 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 50994 | Rate: 100.07 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 51494 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 51994 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 52493 | Rate: 99.80 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 52993 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 53492 | Rate: 99.80 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 53992 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 54492 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 54992 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 55492 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 55992 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 56492 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 56992 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 57492 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 57992 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 58492 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 58992 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 59492 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0

Shutting down producer...

Final Statistics:
Total messages sent: 59992
Total bytes sent: 245727232
Total errors: 0
