LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
29m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
29m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
29m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 3.069s (3.069s including waiting). Image size: 6025303 bytes.
29m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
29m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
26m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
26m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
26m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
26m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.502s (1.502s including waiting). Image size: 6025303 bytes.
26m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
26m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
24m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
23m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
23m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
23m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.543s (1.543s including waiting). Image size: 6025303 bytes.
23m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
23m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
21m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
20m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
20m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
20m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.728s (1.728s including waiting). Image size: 6025303 bytes.
20m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
20m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
17m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
17m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
17m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
17m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.577s (1.577s including waiting). Image size: 6025303 bytes.
17m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
17m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
14m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
14m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
14m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
14m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.53s (1.53s including waiting). Image size: 6025303 bytes.
14m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
14m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
11m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
11m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
11m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
11m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.542s (1.542s including waiting). Image size: 6025303 bytes.
11m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
11m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
8m49s       Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
8m14s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
8m14s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
8m12s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.533s (1.533s including waiting). Image size: 6025303 bytes.
8m12s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
8m12s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
5m53s       Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
5m19s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
5m19s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
5m17s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.502s (1.502s including waiting). Image size: 6025303 bytes.
5m17s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
5m17s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
2m57s       Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
2m23s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
2m22s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
2m21s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.541s (1.541s including waiting). Image size: 6025303 bytes.
2m21s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
2m21s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
119m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
119m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.002s (2.002s including waiting). Image size: 6025303 bytes.
119m        Normal    Created     pod/consumer-svc                             Created container: consumer
119m        Normal    Started     pod/consumer-svc                             Started container consumer
117m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
116m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
116m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.744s (1.744s including waiting). Image size: 6025303 bytes.
116m        Normal    Created     pod/consumer-svc                             Created container: consumer
116m        Normal    Started     pod/consumer-svc                             Started container consumer
114m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
113m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
113m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.816s (1.816s including waiting). Image size: 6025303 bytes.
113m        Normal    Created     pod/consumer-svc                             Created container: consumer
113m        Normal    Started     pod/consumer-svc                             Started container consumer
111m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
110m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
110m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.755s (1.755s including waiting). Image size: 6025303 bytes.
110m        Normal    Created     pod/consumer-svc                             Created container: consumer
110m        Normal    Started     pod/consumer-svc                             Started container consumer
108m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
107m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
107m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.861s (1.861s including waiting). Image size: 6025303 bytes.
107m        Normal    Created     pod/consumer-svc                             Created container: consumer
107m        Normal    Started     pod/consumer-svc                             Started container consumer
104m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
60m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
60m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
60m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.634s (1.634s including waiting). Image size: 5766525 bytes.
60m         Normal    Created     pod/consumer-svc                             Created container: consumer
60m         Normal    Started     pod/consumer-svc                             Started container consumer
60m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
59m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
56m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
53m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
50m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
47m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
44m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
44m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
44m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.792s (1.792s including waiting). Image size: 5766525 bytes.
44m         Normal    Created     pod/consumer-svc                             Created container: consumer
44m         Normal    Started     pod/consumer-svc                             Started container consumer
42m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
41m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
41m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
41m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.625s (1.625s including waiting). Image size: 5766525 bytes.
41m         Normal    Created     pod/consumer-svc                             Created container: consumer
41m         Normal    Started     pod/consumer-svc                             Started container consumer
39m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
38m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
38m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
38m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.642s (1.642s including waiting). Image size: 5766525 bytes.
38m         Normal    Created     pod/consumer-svc                             Created container: consumer
38m         Normal    Started     pod/consumer-svc                             Started container consumer
36m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
35m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
35m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
35m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.847s (1.847s including waiting). Image size: 5766525 bytes.
35m         Normal    Created     pod/consumer-svc                             Created container: consumer
35m         Normal    Started     pod/consumer-svc                             Started container consumer
33m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
32m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
32m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
32m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.668s (1.668s including waiting). Image size: 5766525 bytes.
32m         Normal    Created     pod/consumer-svc                             Created container: consumer
32m         Normal    Started     pod/consumer-svc                             Started container consumer
30m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
59m         Normal    Scheduled   pod/iperf3-client-raspberrypi                Successfully assigned default/iperf3-client-raspberrypi to rubikpi
