LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
55m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rtosubuntu-500tca-500sca
55m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
55m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.656s (1.656s including waiting). Image size: 5766525 bytes.
55m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
55m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
54m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
53m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
53m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
53m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.495s (1.495s including waiting). Image size: 6025303 bytes.
53m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
53m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
52m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
50m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
50m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
50m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.501s (1.501s including waiting). Image size: 6025303 bytes.
50m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
50m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
49m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
48m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
48m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
48m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.605s (1.605s including waiting). Image size: 6025303 bytes.
48m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
48m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
46m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
29m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
29m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
29m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.427s (2.427s including waiting). Image size: 6025303 bytes.
29m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
29m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
28m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
28m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
28m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
28m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.205s (2.205s including waiting). Image size: 6025303 bytes.
28m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
28m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
27m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
27m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
27m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
27m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.759s (1.759s including waiting). Image size: 6025303 bytes.
27m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
27m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
26m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
26m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
26m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
26m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.519s (1.519s including waiting). Image size: 6025303 bytes.
26m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
26m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
26m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
96m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
96m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.868s (1.868s including waiting). Image size: 6025303 bytes.
96m         Normal    Created     pod/consumer-svc                             Created container: consumer
96m         Normal    Started     pod/consumer-svc                             Started container consumer
92m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
85m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
85m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.742s (1.743s including waiting). Image size: 6025303 bytes.
85m         Normal    Created     pod/consumer-svc                             Created container: consumer
85m         Normal    Started     pod/consumer-svc                             Started container consumer
81m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
81m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
81m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.768s (1.768s including waiting). Image size: 6025303 bytes.
81m         Normal    Created     pod/consumer-svc                             Created container: consumer
81m         Normal    Started     pod/consumer-svc                             Started container consumer
80m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
79m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
79m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.777s (1.777s including waiting). Image size: 6025303 bytes.
79m         Normal    Created     pod/consumer-svc                             Created container: consumer
79m         Normal    Started     pod/consumer-svc                             Started container consumer
78m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
77m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
77m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.811s (1.811s including waiting). Image size: 6025303 bytes.
77m         Normal    Created     pod/consumer-svc                             Created container: consumer
77m         Normal    Started     pod/consumer-svc                             Started container consumer
76m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
75m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
75m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.899s (1.899s including waiting). Image size: 6025303 bytes.
75m         Normal    Created     pod/consumer-svc                             Created container: consumer
75m         Normal    Started     pod/consumer-svc                             Started container consumer
74m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
73m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
73m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.876s (1.876s including waiting). Image size: 6025303 bytes.
73m         Normal    Created     pod/consumer-svc                             Created container: consumer
73m         Normal    Started     pod/consumer-svc                             Started container consumer
72m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
65m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
65m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.002s (2.002s including waiting). Image size: 6025303 bytes.
65m         Normal    Created     pod/consumer-svc                             Created container: consumer
65m         Normal    Started     pod/consumer-svc                             Started container consumer
63m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
62m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
62m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.744s (1.744s including waiting). Image size: 6025303 bytes.
62m         Normal    Created     pod/consumer-svc                             Created container: consumer
62m         Normal    Started     pod/consumer-svc                             Started container consumer
42m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
42m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
42m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.722s (1.722s including waiting). Image size: 5766525 bytes.
42m         Normal    Created     pod/consumer-svc                             Created container: consumer
42m         Normal    Started     pod/consumer-svc                             Started container consumer
40m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
36m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
31m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rubikpi
31m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
31m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.598s (1.598s including waiting). Image size: 6025303 bytes.
31m         Normal    Created     pod/consumer-svc                             Created container: consumer
31m         Normal    Started     pod/consumer-svc                             Started container consumer
30m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
29m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rubikpi
29m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
29m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.536s (1.536s including waiting). Image size: 6025303 bytes.
29m         Normal    Created     pod/consumer-svc                             Created container: consumer
29m         Normal    Started     pod/consumer-svc                             Started container consumer
28m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
25m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
21m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
19m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
17m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
15m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
13m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
11m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
11m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
11m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.67s (1.67s including waiting). Image size: 5766525 bytes.
11m         Normal    Created     pod/consumer-svc                             Created container: consumer
11m         Normal    Started     pod/consumer-svc                             Started container consumer
10m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
9m38s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
9m38s       Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
9m37s       Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.913s (1.913s including waiting). Image size: 5766525 bytes.
9m36s       Normal    Created     pod/consumer-svc                             Created container: consumer
9m36s       Normal    Started     pod/consumer-svc                             Started container consumer
8m18s       Normal    Killing     pod/consumer-svc                             Stopping container consumer
7m42s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
7m43s       Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
7m41s       Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.688s (1.688s including waiting). Image size: 5766525 bytes.
7m41s       Normal    Created     pod/consumer-svc                             Created container: consumer
7m41s       Normal    Started     pod/consumer-svc                             Started container consumer
7m17s       Normal    Killing     pod/consumer-svc                             Stopping container consumer
6m21s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
6m21s       Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
6m19s       Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.634s (1.634s including waiting). Image size: 5766525 bytes.
6m19s       Normal    Created     pod/consumer-svc                             Created container: consumer
6m19s       Normal    Started     pod/consumer-svc                             Started container consumer
6m5s        Normal    Killing     pod/consumer-svc                             Stopping container consumer
5m25s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
2m26s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
98m         Normal    Pulling     pod/consumer                                 Pulling image "ssoonan0770/jitter-consumer:latest"
98m         Normal    Pulled      pod/consumer                                 Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.787s (1.787s including waiting). Image size: 6025303 bytes.
98m         Normal    Created     pod/consumer                                 Created container: consumer
98m         Normal    Started     pod/consumer                                 Started container consumer
97m         Normal    Killing     pod/consumer                                 Stopping container consumer
38m         Normal    Scheduled   pod/consumer                                 Successfully assigned default/consumer to raspberrypi
112m        Normal    Pulling     pod/iperf3-client-quick                      Pulling image "networkstatic/iperf3:latest"
113m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.618s (1.618s including waiting). Image size: 30809528 bytes.
112m        Normal    Created     pod/iperf3-client-quick                      Created container: iperf3
112m        Normal    Started     pod/iperf3-client-quick                      Started container iperf3
113m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.645s (1.645s including waiting). Image size: 30809528 bytes.
112m        Warning   BackOff     pod/iperf3-client-quick                      Back-off restarting failed container iperf3 in pod iperf3-client-quick_default(34cad53b-01ef-497c-a9cc-6b77f25b5344)
112m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.697s (1.697s including waiting). Image size: 30809528 bytes.
112m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.705s (1.705s including waiting). Image size: 30809528 bytes.
112m        Normal    Killing     pod/iperf3-client-quick                      Stopping container iperf3
106m        Normal    Pulling     pod/iperf3-client-quick                      Pulling image "networkstatic/iperf3:latest"
107m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.674s (1.675s including waiting). Image size: 30809528 bytes.
106m        Normal    Created     pod/iperf3-client-quick                      Created container: iperf3
106m        Normal    Started     pod/iperf3-client-quick                      Started container iperf3
107m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.63s (1.63s including waiting). Image size: 30809528 bytes.
106m        Warning   BackOff     pod/iperf3-client-quick                      Back-off restarting failed container iperf3 in pod iperf3-client-quick_default(2213aebb-09d1-4d0d-8300-046ad20cd64f)
107m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.61s (1.61s including waiting). Image size: 30809528 bytes.
106m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.664s (1.664s including waiting). Image size: 30809528 bytes.
106m        Normal    Killing     pod/iperf3-client-quick                      Stopping container iperf3
53m         Normal    Scheduled   pod/iperf3-client-quick                      Successfully assigned default/iperf3-client-quick to raspberrypi
47m         Normal    Scheduled   pod/iperf3-client-quick                      Successfully assigned default/iperf3-client-quick to raspberrypi
41m         Normal    Scheduled   pod/iperf3-client-quick                      Successfully assigned default/iperf3-client-quick to rubikpi
40m         Normal    Pulling     pod/iperf3-client-quick                      Pulling image "networkstatic/iperf3:latest"
41m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.591s (1.591s including waiting). Image size: 30809528 bytes.
40m         Normal    Created     pod/iperf3-client-quick                      Created container: iperf3
40m         Normal    Started     pod/iperf3-client-quick                      Started container iperf3
41m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.515s (1.515s including waiting). Image size: 30809528 bytes.
40m         Warning   BackOff     pod/iperf3-client-quick                      Back-off restarting failed container iperf3 in pod iperf3-client-quick_default(dccefd02-d88b-4f20-80c1-8d49c23b940c)
41m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.594s (1.594s including waiting). Image size: 30809528 bytes.
40m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.494s (1.494s including waiting). Image size: 30809528 bytes.
35m         Normal    Scheduled   pod/iperf3-client-raspberrypi                Successfully assigned default/iperf3-client-raspberrypi to rtosubuntu-500tca-500sca
32m         Normal    Pulling     pod/iperf3-client-raspberrypi                Pulling image "networkstatic/iperf3:latest"
35m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.593s (1.593s including waiting). Image size: 31128721 bytes.
32m         Normal    Created     pod/iperf3-client-raspberrypi                Created container: iperf3
32m         Normal    Started     pod/iperf3-client-raspberrypi                Started container iperf3
35m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.541s (1.541s including waiting). Image size: 31128721 bytes.
32m         Warning   BackOff     pod/iperf3-client-raspberrypi                Back-off restarting failed container iperf3 in pod iperf3-client-raspberrypi_default(f245db80-2c21-4187-b09d-7f3f91c93bf3)
35m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.627s (1.627s including waiting). Image size: 31128721 bytes.
34m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.618s (1.618s including waiting). Image size: 31128721 bytes.
34m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.52s (1.52s including waiting). Image size: 31128721 bytes.
32m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.564s (1.564s including waiting). Image size: 31128721 bytes.
27m         Normal    Scheduled   pod/iperf3-client-raspberrypi                Successfully assigned default/iperf3-client-raspberrypi to rtosubuntu-500tca-500sca
26m         Normal    Pulling     pod/iperf3-client-raspberrypi                Pulling image "networkstatic/iperf3:latest"
27m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.718s (1.718s including waiting). Image size: 31128721 bytes.
26m         Normal    Created     pod/iperf3-client-raspberrypi                Created container: iperf3
26m         Normal    Started     pod/iperf3-client-raspberrypi                Started container iperf3
27m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.516s (1.516s including waiting). Image size: 31128721 bytes.
26m         Warning   BackOff     pod/iperf3-client-raspberrypi                Back-off restarting failed container iperf3 in pod iperf3-client-raspberrypi_default(b5a5bdd0-e975-487f-ac4a-09c3250fe843)
26m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.891s (1.891s including waiting). Image size: 31128721 bytes.
25m         Normal    Scheduled   pod/iperf3-client-raspberrypi                Successfully assigned default/iperf3-client-raspberrypi to rtosubuntu-500tca-500sca
22m         Normal    Pulling     pod/iperf3-client-raspberrypi                Pulling image "networkstatic/iperf3:latest"
25m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.572s (1.572s including waiting). Image size: 31128721 bytes.
22m         Normal    Created     pod/iperf3-client-raspberrypi                Created container: iperf3
22m         Normal    Started     pod/iperf3-client-raspberrypi                Started container iperf3
25m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.531s (1.531s including waiting). Image size: 31128721 bytes.
22m         Warning   BackOff     pod/iperf3-client-raspberrypi                Back-off restarting failed container iperf3 in pod iperf3-client-raspberrypi_default(9da68482-14e6-400b-b32c-cf03f3295005)
25m         Normal    Pulled      pod/iperf3-client-raspberrypi                Successfully pulled image "networkstatic/iperf3:latest" in 1.527s (1.527s including waiting). Image size: 31128721 bytes.
