Producer starting...
Target address: consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
Send interval: 10ms
Connected to consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
[Stats] Messages: 31495 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 31995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 32495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 32995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 33495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 33995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 34495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 34995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 35496 | Rate: 100.20 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 35996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 36496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 36995 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 37495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 37996 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 38495 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 38995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 39495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 39995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 40496 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 40995 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 41495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 41995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 42495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 42996 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 43495 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 43996 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 44495 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 44995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 45496 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 45995 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 46495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 46995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 47496 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 47995 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 48495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 48995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 49495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 49995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 50495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 50995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 51495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 51996 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 52495 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 52996 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 53495 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 53995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 54495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 54995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 55495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 55995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
