LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
80m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
80m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.811s (1.811s including waiting). Image size: 6025303 bytes.
80m         Normal    Created     pod/consumer-svc                             Created container: consumer
80m         Normal    Started     pod/consumer-svc                             Started container consumer
79m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
78m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
78m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.899s (1.899s including waiting). Image size: 6025303 bytes.
78m         Normal    Created     pod/consumer-svc                             Created container: consumer
78m         Normal    Started     pod/consumer-svc                             Started container consumer
77m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
76m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
76m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.876s (1.876s including waiting). Image size: 6025303 bytes.
76m         Normal    Created     pod/consumer-svc                             Created container: consumer
76m         Normal    Started     pod/consumer-svc                             Started container consumer
75m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
68m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
68m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.002s (2.002s including waiting). Image size: 6025303 bytes.
68m         Normal    Created     pod/consumer-svc                             Created container: consumer
68m         Normal    Started     pod/consumer-svc                             Started container consumer
65m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
65m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
65m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.744s (1.744s including waiting). Image size: 6025303 bytes.
65m         Normal    Created     pod/consumer-svc                             Created container: consumer
65m         Normal    Started     pod/consumer-svc                             Started container consumer
62m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
62m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
62m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.816s (1.816s including waiting). Image size: 6025303 bytes.
62m         Normal    Created     pod/consumer-svc                             Created container: consumer
62m         Normal    Started     pod/consumer-svc                             Started container consumer
45m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
45m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
45m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.722s (1.722s including waiting). Image size: 5766525 bytes.
45m         Normal    Created     pod/consumer-svc                             Created container: consumer
