LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
11m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
11m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
11m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 3.069s (3.069s including waiting). Image size: 6025303 bytes.
11m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
11m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
9m2s        Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
8m25s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
8m24s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
8m23s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.502s (1.502s including waiting). Image size: 6025303 bytes.
8m23s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
8m23s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
6m4s        Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
5m25s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
5m25s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
5m24s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.543s (1.543s including waiting). Image size: 6025303 bytes.
5m24s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
5m24s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
3m4s        Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
2m26s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
2m26s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
2m24s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.728s (1.728s including waiting). Image size: 6025303 bytes.
2m24s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
2m24s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
118m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
118m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
118m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.768s (1.768s including waiting). Image size: 6025303 bytes.
118m        Normal    Created     pod/consumer-svc                             Created container: consumer
118m        Normal    Started     pod/consumer-svc                             Started container consumer
116m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
116m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
116m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.777s (1.777s including waiting). Image size: 6025303 bytes.
116m        Normal    Created     pod/consumer-svc                             Created container: consumer
116m        Normal    Started     pod/consumer-svc                             Started container consumer
114m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
114m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
114m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.811s (1.811s including waiting). Image size: 6025303 bytes.
114m        Normal    Created     pod/consumer-svc                             Created container: consumer
114m        Normal    Started     pod/consumer-svc                             Started container consumer
