Producer starting...
Target address: consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
Send interval: 10ms
Connected to consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
[Stats] Messages: 31496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 31997 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 32496 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 32996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 33497 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 33996 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 34496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 34996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 35496 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 35996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 36496 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 36996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 37497 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 37997 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 38496 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 38997 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 39496 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 39997 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 40496 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 40997 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 41497 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 41996 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 42496 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 42996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 43496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 43996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 44497 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 44996 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 45496 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 45996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 46496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 46996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 47497 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 47996 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 48496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 48997 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 49496 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 49997 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 50496 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 50996 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 51496 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 51996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 52496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 52996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 53497 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 53996 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 54496 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
