LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
52m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rtosubuntu-500tca-500sca
52m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
51m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.656s (1.656s including waiting). Image size: 5766525 bytes.
51m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
51m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
51m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
50m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
50m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
50m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.495s (1.495s including waiting). Image size: 6025303 bytes.
50m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
50m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
49m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
46m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
46m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
46m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.501s (1.501s including waiting). Image size: 6025303 bytes.
46m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
46m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
46m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
45m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
45m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
45m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.605s (1.605s including waiting). Image size: 6025303 bytes.
45m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
45m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
43m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
25m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
25m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
25m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.427s (2.427s including waiting). Image size: 6025303 bytes.
25m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
25m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
25m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
25m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
25m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
25m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.205s (2.205s including waiting). Image size: 6025303 bytes.
25m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
25m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
24m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
24m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
24m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
24m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.759s (1.759s including waiting). Image size: 6025303 bytes.
24m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
24m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
23m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
23m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
23m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
23m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.519s (1.519s including waiting). Image size: 6025303 bytes.
23m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
23m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
23m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
92m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
92m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.868s (1.868s including waiting). Image size: 6025303 bytes.
92m         Normal    Created     pod/consumer-svc                             Created container: consumer
92m         Normal    Started     pod/consumer-svc                             Started container consumer
88m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
82m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
