LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
49m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
49m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
49m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.427s (2.427s including waiting). Image size: 6025303 bytes.
49m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
49m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
49m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
49m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
49m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
49m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.205s (2.205s including waiting). Image size: 6025303 bytes.
49m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
49m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
48m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
48m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
48m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
48m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.759s (1.759s including waiting). Image size: 6025303 bytes.
48m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
48m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
47m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
47m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
47m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
47m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.519s (1.519s including waiting). Image size: 6025303 bytes.
47m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
47m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
47m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
116m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
116m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.868s (1.868s including waiting). Image size: 6025303 bytes.
116m        Normal    Created     pod/consumer-svc                             Created container: consumer
116m        Normal    Started     pod/consumer-svc                             Started container consumer
112m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
106m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
106m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.742s (1.743s including waiting). Image size: 6025303 bytes.
106m        Normal    Created     pod/consumer-svc                             Created container: consumer
106m        Normal    Started     pod/consumer-svc                             Started container consumer
102m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
102m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
102m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.768s (1.768s including waiting). Image size: 6025303 bytes.
102m        Normal    Created     pod/consumer-svc                             Created container: consumer
102m        Normal    Started     pod/consumer-svc                             Started container consumer
101m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
100m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
