LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
47m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
47m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
46m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.427s (2.427s including waiting). Image size: 6025303 bytes.
46m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
46m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
46m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
46m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
46m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
46m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.205s (2.205s including waiting). Image size: 6025303 bytes.
46m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
46m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
45m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
45m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
45m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
45m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.759s (1.759s including waiting). Image size: 6025303 bytes.
45m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
45m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
44m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
44m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
44m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
44m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.519s (1.519s including waiting). Image size: 6025303 bytes.
44m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
44m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
44m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
114m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
114m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.868s (1.868s including waiting). Image size: 6025303 bytes.
114m        Normal    Created     pod/consumer-svc                             Created container: consumer
114m        Normal    Started     pod/consumer-svc                             Started container consumer
109m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
103m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
103m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.742s (1.743s including waiting). Image size: 6025303 bytes.
103m        Normal    Created     pod/consumer-svc                             Created container: consumer
103m        Normal    Started     pod/consumer-svc                             Started container consumer
99m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
99m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
99m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.768s (1.768s including waiting). Image size: 6025303 bytes.
99m         Normal    Created     pod/consumer-svc                             Created container: consumer
99m         Normal    Started     pod/consumer-svc                             Started container consumer
98m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
97m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
97m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.777s (1.777s including waiting). Image size: 6025303 bytes.
97m         Normal    Created     pod/consumer-svc                             Created container: consumer
97m         Normal    Started     pod/consumer-svc                             Started container consumer
96m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
95m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
95m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.811s (1.811s including waiting). Image size: 6025303 bytes.
95m         Normal    Created     pod/consumer-svc                             Created container: consumer
95m         Normal    Started     pod/consumer-svc                             Started container consumer
94m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
93m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
93m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.899s (1.899s including waiting). Image size: 6025303 bytes.
93m         Normal    Created     pod/consumer-svc                             Created container: consumer
93m         Normal    Started     pod/consumer-svc                             Started container consumer
92m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
91m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
91m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.876s (1.876s including waiting). Image size: 6025303 bytes.
91m         Normal    Created     pod/consumer-svc                             Created container: consumer
91m         Normal    Started     pod/consumer-svc                             Started container consumer
90m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
