LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
95m         Normal    Started     pod/consumer-svc                             Started container consumer
93m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
92m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
92m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.744s (1.744s including waiting). Image size: 6025303 bytes.
92m         Normal    Created     pod/consumer-svc                             Created container: consumer
92m         Normal    Started     pod/consumer-svc                             Started container consumer
90m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
89m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
89m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.816s (1.816s including waiting). Image size: 6025303 bytes.
89m         Normal    Created     pod/consumer-svc                             Created container: consumer
89m         Normal    Started     pod/consumer-svc                             Started container consumer
87m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
86m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
86m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.755s (1.755s including waiting). Image size: 6025303 bytes.
86m         Normal    Created     pod/consumer-svc                             Created container: consumer
86m         Normal    Started     pod/consumer-svc                             Started container consumer
84m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
83m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
83m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.861s (1.861s including waiting). Image size: 6025303 bytes.
83m         Normal    Created     pod/consumer-svc                             Created container: consumer
83m         Normal    Started     pod/consumer-svc                             Started container consumer
80m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
60m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
59m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rubikpi
59m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
59m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.536s (1.536s including waiting). Image size: 6025303 bytes.
59m         Normal    Created     pod/consumer-svc                             Created container: consumer
59m         Normal    Started     pod/consumer-svc                             Started container consumer
